Species.Code,Site.Code,GS.Type,Abund,Avg.Max.Height..m.,Growth.rate,Shade.tolerance,Drought.tolerance,Tree.Shape,Flowering,Fruiting,Fall.Colour,Leaf.shape,Bark.texture
ULMI,C7,Park,1,24.3,2,3,3,0,1,1,0,2,2
JUNI,C8,Park,1,19,1,2,3,0,1,0,1,3,2
PRVI,C8,Park,1,8.5,1,3,3,0,0,0,0,2,1
TIAM,C8,Park,2,21,1,4,3,0,0,1,0,2,2
ACNE,C9,Park,3,12,2,4,4,0,1,1,0,3,3
ACSA,C9,Park,2,18,2,4,3,0,1,1,0,1,2
ACTA,C9,Park,4,5.5,1,4,4,0,1,1,0,2,2
ACPL,CC2,Inst,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,CC2,Inst,1,18,2,4,3,0,1,1,0,1,2
SYVU,CC2,Inst,2,3.5,1,3,3,3,0,1,0,2,1
ACPL,CC3,Inst,2,13.5,2,3,3,0,1,1,0,1,2
ACPL,CC4,Inst,1,13.5,2,3,3,0,1,1,0,1,2
GLTR,CC4,Inst,1,15,2,2,5,0,1,0,0,3,3
PRDO,CC5,Inst,1,9,1,2,3,0,0,0,0,2,1
PYCO,CC5,Inst,1,8.3,2,3,3,0,0,0,0,2,2
THOC,CC5,Inst,6,15,0,4,3,1,1,1,1,5,3
ACPL,CC6,Inst,1,13.5,2,3,3,0,1,1,0,1,2
GYDI,CC6,Inst,2,20.5,1,3,4,0,1,1,0,3,3
PRCE,CC6,Inst,1,6.9,2,3,3,0,0,0,0,2,1
SYVU,CC6,Inst,1,3.5,1,3,3,3,0,1,0,2,1
ACPL,CC7,Inst,1,13.5,2,3,3,0,1,1,0,1,2
GYDI,CC7,Inst,1,20.5,1,3,4,0,1,1,0,3,3
ACSA,CC8,Inst,1,18,2,4,3,0,1,1,0,1,2
PIRU,CC8,Inst,1,19.5,0,5,3,1,1,1,1,5,3
THOC,CC8,Inst,4,15,0,4,3,1,1,1,1,5,3
ACNE,CO1,Park,3,12,2,4,4,0,1,1,0,3,3
ACPL,CO1,Park,1,13.5,2,3,3,0,1,1,0,1,2
CEOC,CO1,Park,3,15,2,3,4,0,1,0,0,2,2
GLTR,CO1,Park,3,15,2,2,5,0,1,0,0,3,3
JUCI,CO1,Park,1,15,1,2,3,0,1,0,0,3,2
MASY,CO1,Park,1,10,2,2,3,0,0,0,0,2,3
SAALTR,CO1,Park,1,18,2,2,2,0,0,1,0,2,2
THOC,CO1,Park,30,15,0,4,3,1,1,1,1,5,3
ACPL,CO2,Park,1,13.5,2,3,3,0,1,1,0,1,2
CEOC,CO2,Park,3,15,2,3,4,0,1,0,0,2,2
FRPE,CO2,Park,1,16.5,2,3,4,0,1,1,0,3,2
MABA,CO2,Park,2,8.5,1,2,3,0,0,0,0,2,3
PIAB,CO2,Park,2,15,0,5,2,1,1,1,1,5,3
THOC,CO2,Park,5,15,0,4,3,1,1,1,1,5,3
TITO,CP1,Inst,1,18,2,4,3,0,0,1,0,2,2
ACSA,CP2,Inst,1,18,2,4,3,0,1,1,0,1,2
JUNI,CP2,Inst,1,19,1,2,3,0,1,0,1,3,2
JUVI,CP2,Inst,1,13.7,1,1,5,1,1,1,1,5,3
ALGL,CSC1,Inst,1,15,1,3,3,1,1,1,1,2,2
THOC,CSC1,Inst,5,15,0,4,3,1,1,1,1,5,3
