Site.Code,GS.Type,Max.Height.cwm,Growth.rate.cwm,Shade.tol.cwm,Drought.tol.cwm,Tree.shape.cwm,Flowering.cwm,Fruiting.cwm,Fall.col.cwm,Leaf.shape.cwm,Bark.cwm,,,,,,,,,,,,,,,
LH7,Inst,16.6,1,3,4,1,0.5,1,0.5,3.5,2.5,,,,,,,,,,,,,,,
LH8,Inst,18.34,1.2,3,3.8,0.4,0.8,1,0.2,2,2.2,,,,,,,,,,,,,,,
LO1,Park,16.5,2,3,4,0,1,1,0,3,2,,,,,,,,,,,,,,,
LO10,Park,13.9,1.5,3,3.25,0.25,0.5,0.5,0,2,2,,,,,,,,,,,,,,,
LO100,Park,20.5,1,5,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO102,Park,10.75,1.333333333,3.5,2.444444444,1.611111111,0.444444444,1,0.055555556,2.222222222,1.833333333,,,,,,,,,,,,,,,
LO103,Park,15,2,2,3,1,1,1,0,1,2,,,,,,,,,,,,,,,
LO104,Park,8.3,2,3,3,0,0,0,0,2,2,,,,,,,,,,,,,,,
LO105,Park,15,2,2,3,1,1,1,0,1,2,,,,,,,,,,,,,,,
LO108,Park,21.5,1,4,3.5,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO109,Park,19,1,2,3,0,1,0,1,3,2,,,,,,,,,,,,,,,
LO11,Park,16.25,1.5,2,3,0.5,1,1,0,4,3,,,,,,,,,,,,,,,
LO111,Park,12.2,1,4,4,4,1,1,0,2,2,,,,,,,,,,,,,,,
LO112,Park,10.36666667,1.666666667,2.333333333,3.666666667,0,0.333333333,0,0,2.333333333,2.333333333,,,,,,,,,,,,,,,
LO115,Park,15.75,1,3,2.5,1,1,1,0.5,5,3,,,,,,,,,,,,,,,
LO116,Park,13.36666667,1.666666667,2.333333333,3,0.333333333,0.666666667,0.666666667,0,3.333333333,2.333333333,,,,,,,,,,,,,,,
LO119,Park,7.875,1.25,2.625,3.875,2,0.25,0.875,0,2.125,1.375,,,,,,,,,,,,,,,
LO12,Park,16.33333333,1.666666667,2.333333333,3.333333333,0.333333333,1,1,0,3.666666667,2.666666667,,,,,,,,,,,,,,,
LO123,Park,19,0.666666667,2.666666667,3.666666667,0,1,0.333333333,0,1,2,,,,,,,,,,,,,,,
LO125,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO126,Park,15,0,5,2,1,1,1,1,5,3,,,,,,,,,,,,,,,
LO128,Park,17.25,1.5,3.5,3,1,0.5,1,0,1.5,2,,,,,,,,,,,,,,,
LO13,Park,11.3,2,3,3.5,0,0.5,0,0,2,1.5,,,,,,,,,,,,,,,
LO130,Park,14.25,2,2.5,3,0.5,1,1,0,1,2,,,,,,,,,,,,,,,
LO131,Park,15.75,1,4,3,0.5,1,1,0.5,4,2.5,,,,,,,,,,,,,,,
LO132,Park,14.475,1.5,4,3,0.75,0.75,1,0.25,1.25,1.75,,,,,,,,,,,,,,,
LO133,Park,8.2,1.2,3.8,2.4,2.4,0.2,1,0,2,1.4,,,,,,,,,,,,,,,
LO134,Park,20.5,1,5,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO135,Park,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO139,Park,16.5,2,3,4,0,1,1,0,3,2,,,,,,,,,,,,,,,
LO14,Park,14,0.666666667,3,4,0.333333333,1,1,1,5,3,,,,,,,,,,,,,,,
LO140,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO142,Park,15,2,2,4,0.5,0.5,0.5,0,1.5,2.5,,,,,,,,,,,,,,,
LO143,Park,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
LO146,Park,19,1,2,3,0,1,0,1,3,2,,,,,,,,,,,,,,,
LO149,Park,16.5,2,3,4,0,1,1,0,3,2,,,,,,,,,,,,,,,
LO15,Park,16.35,1,4.5,3.5,2,1,1,0,1.5,2,,,,,,,,,,,,,,,
LO152,Park,15.35,0.666666667,2.333333333,3.833333333,0.333333333,1,0.5,0.333333333,2.833333333,2.833333333,,,,,,,,,,,,,,,
LO153,Park,14.725,0.75,4.25,3.5,2.5,0.75,1,0.25,2.75,2.25,,,,,,,,,,,,,,,
LO154,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO155,Park,18.5,1.666666667,2.666666667,3,0.333333333,0.666666667,1,0,2,2,,,,,,,,,,,,,,,
LO156,Park,13.77777778,0.888888889,3.222222222,3.111111111,0.444444444,0.333333333,0.555555556,0.222222222,2.666666667,2.777777778,,,,,,,,,,,,,,,
LO158,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO161,Park,15,2,2,4,0.5,1,0.5,0,2,2.5,,,,,,,,,,,,,,,
LO162,Park,14.3,1,3.6,3,0.4,0.8,0.8,0.4,3.6,2.6,,,,,,,,,,,,,,,
LO163,Park,18.75,0.75,2.75,4,0,1,0.75,0,2.75,3,,,,,,,,,,,,,,,
LO167,Park,20.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO17,Park,20.5,1,5,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO171,Park,18,1.75,3,3,0.25,0.75,1,0,2.25,2,,,,,,,,,,,,,,,
LO18,Park,16.5,2,3,4,0,1,1,0,3,2,,,,,,,,,,,,,,,
LO19,Park,17.275,1.75,2.25,2.75,0.25,0.75,0.75,0,2.75,2.5,,,,,,,,,,,,,,,
LO2,Park,12.4,0.6,4.4,3,0.4,0.8,1,0.4,3.2,2.4,,,,,,,,,,,,,,,
LO22,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO24,Park,14.5,1.333333333,3,3.666666667,0.333333333,1,0.666666667,0.333333333,3,2.666666667,,,,,,,,,,,,,,,
LO25,Park,13.15,1.75,2.5,4.75,0,0.75,0.25,0,2.75,2.75,,,,,,,,,,,,,,,
LO26,Park,16,1.333333333,3.333333333,2.666666667,0.333333333,1,1,0.666666667,3.333333333,2.666666667,,,,,,,,,,,,,,,
LO28,Park,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
LO29,Park,15.75,1.5,3,4,0,1,0.5,0,1.5,2.5,,,,,,,,,,,,,,,
