Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,DBH,DBH Round,Index
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.4625187,-73.6380241,35.5,36,256
Ywen Kuok Buddhist Temple,I6,CTSP,Catalpa Speciosa,45.4625754,-73.6378236,6.1,6,257
Ywen Kuok Buddhist Temple,I6,PIPU,Picea Pungens,45.4625598,-73.6378005,5.3,5,258
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4624749,-73.6378588,62,62,259
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4624223,-73.6378923,49.7,50,260
College Prep International,I7,JUVI,Juniperus Virginiana,45.4542246,-73.6422928,8.1,8,261
College Prep International,I7,TITO,Tilia Tomentosa,45.4542726,-73.642097,5.9,6,262
College Prep International,I7,ACSA,Acer Saccharinum,45.4541237,-73.6422436,48.8,49,263
College Prep International,I7,JUNI,Juglans Nigra,45.4541661,-73.6427123,16,16,264
Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.459665,-73.6312784,7.1,7,265
Kells Senior Academy,I8,RHTY,Rhus Typhina,45.4596721,-73.6310614,6.2,6,266
Kells Senior Academy,I8,SYRE,Syringa Reticulata,45.4596436,-73.6311892,33.1,33,267
Kells Senior Academy,I8,MABA,Malus Baccata,45.4595923,-73.6310614,22.9,23,268
Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.459412,-73.631355,8.4,8,269
Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.459427,-73.631398,5.7,6,270
Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.459446,-73.631449,6.3,6,271
Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.459469,-73.6315,7.2,7,272
Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.459484,-73.631548,6.9,7,273
Kells Primary Academy,I9,CEOC,Celtis Occidentalis,45.4621756,-73.6267508,18.6,19,274
Kells Primary Academy,I9,ACNE,Acer Negundo,45.4622652,-73.626688,117,117,275
Kells Primary Academy,I9,ACNE,Acer Negundo,45.4622833,-73.6265862,31.1,31,276
Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4621777,-73.6264329,17.4,17,277
Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4621747,-73.6263082,29.3,29,278
Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4621979,-73.6262881,24.3,24,279
Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4622106,-73.626268,19.7,20,280
Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4622356,-73.6262449,26.1,26,281
Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4622381,-73.6262278,28.2,28,282
